"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","","","",
"Afghanistan","AFG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","377000","377600","378100","378730","378750","379130","379790","379800","379960","380060","380360","380460","380480","380480","380480","380480","380500","380500","380490","380490","380530","380540","380540","380540","380540","380540","380450","380400","380400","380400","380300","380300","379340","378130","377530","377520","377900","378670","377530","377530","377530","377530","379100","379110","379100","379100","379100","379100","379100","379110","379100","379100","379100","379100","379100","379100","","","",
"Angola","AGO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","571700","572000","572200","572500","572700","573000","573300","573600","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574040","574500","575000","575000","575000","575000","575000","575000","575000","574000","573000","573000","573900","575900","575900","575900","575900","576900","576900","582900","583900","589900","589900","591900","591900","591900","591900","","","",
"Albania","ALB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","12320","12320","12330","12300","12370","12400","12440","12400","12350","12300","12000","11740","11460","11220","10800","10750","11090","11140","11170","11180","11160","11140","11100","11130","11120","11110","11110","11170","11100","11210","11270","11270","11260","11260","11270","11310","11350","11390","11450","11440","11390","11400","11210","11220","10770","11200","11190","11810","12013.0004882813","12013.0004882813","12010","12013.0004882813","11873.0004882813","11742.900390625","11743.0004882813","11816.9995117188","","","",
"Andorra","AND","Agricultural land (sq. km)","AG.LND.AGRI.K2","","260","260","260","260","260","260","260","260","260","260","250","250","240","240","240","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","227.5","228.500003814697","228.600006103516","228.099994659424","217.999992370605","217.800006866455","207.700004577637","207.600002288818","207.700004577637","197.700004577637","197.700004577637","187.600002288818","188.099994659424","188.099994659424","188.099994659424","187.800006866455","","","",
"Arab World","ARB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3127460","3126440","3128570","3128840","3130980","3130890","3136780","3139750","3146300","3153840","3179440","3184910","3183200","3189790","3185730","3194140","3196000","3201430","3202930","3213530","3171595.99975586","3174293.3996582","3180167.39990234","3235683.59985352","3282938.00048828","3331758.00048828","3386710","3436840","3487488.00048828","3543041.99951172","3554814.00024414","3566269.79980469","3646870","3722690","3791120","3863364.59960938","3929959.19921875","4012316.20117188","4081785","4079651.99999809","4079200.99978447","4086271.00024223","4091501.99216843","4099105.99986076","4105416.9998455","4099677.50035286","4100239.99937058","4091119.59887505","4085634.59662437","4091667.00677872","4775446.90179825","4778943.37739944","4785734.43078995","4793847.43120193","4795791.51102066","4794229.05450821","","","",
"United Arab Emirates","ARE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2080","2080","2080","2080","2090","2100","2100","2100","2100","2120","2120","2120","2130","2140","2150","2160","2170","2180","2190","2230","2270","2270","2320","2320","2350","2380","2380","2390","2390","2850","3100","3390","3550","3720","3830","3920","4000","4030","5210","5520","5670","5710","5590","5590","5620","5435.99975585938","5375.99975585938","5445.99975585938","3928.99993896484","3972.99987792969","3935","3817.00012207031","3843.99993896484","3875","3877.99987792969","3887.99987792969","","","",
"Argentina","ARG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1378290","1364340","1348750","1332970","1317800","1309480","1297030","1292350","1293020","1292800","1291540","1290280","1289020","1287760","1286500","1285240","1283980","1282720","1281460","1280200","1278940","1287690","1286440","1285170","1283910","1282650","1279390","1273800","1274700","1275650","1276600","1277550","1278500","1279480","1280450","1281420","1282350","1283300","1284120","1285100","1286060","1287100","1308835","1343450","1377975","1411040","1440330","1442610","1437920","1474810","1482810","1492540","1491990","1487000","1487000","1487000","","","",
"Armenia","ARM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11700","11810","12000","12440","13060","13320","13280","13230","13230","13280","13910","14440","15050","16050","17564.0002441406","17519.0002441406","17488.0004882813","17463.0004882813","17350","16980.9997558594","16830","16830","16806.9995117188","16766.9995117188","16768.0004882813","","","",
"American Samoa","ASM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","32.0000004768372","32.0000004768372","32.0000004768372","35","40","40","46.9999980926514","47.8999996185303","48.0000019073486","45","45","50.3999996185303","50","50","50","48.0000019073486","48.0000019073486","49.0000009536743","49.0000009536743","49.0000009536743","49.0000009536743","49.0000009536743","49.0000009536743","49.0000009536743","49.0000009536743","","","",
