"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","4.19999986886978","","","",
"Afghanistan","AFG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","","","",
"Angola","AGO","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","609760","608511.9921875","607263.984375","606016.015625","604768.0078125","603520","602271.9921875","601023.984375","599776.015625","598528.0078125","597280","596031.9921875","594783.984375","593536.015625","592288.0078125","591040","589791.9921875","588543.984375","587296.015625","586048.0078125","584800","583551.9921875","582303.984375","581056.015625","579808.0078125","578560","577311.9921875","","","",
"Albania","ALB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7887.99987792969","7868.49975585938","7849.00024414063","7829.50012207031","7810","7790.49987792969","7770.99975585938","7751.50024414063","7732.00012207031","7712.5","7692.99987792969","7719.19982910156","7745.39978027344","7771.59973144531","7797.80029296875","7824.00024414063","7811.79992675781","7799.60021972656","7787.39990234375","7775.2001953125","7762.99987792969","7753.40026855469","7743.80004882813","7734.19982910156","7724.60021972656","7715","7705.39978027344","","","",
"Andorra","AND","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","","","",
"Arab World","ARB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194668.499998748","194099.997174591","193531.598968506","192963.101027012","192394.70282346","191826.199999154","191257.79717505","190689.298966527","190120.901030004","189552.502821684","188983.999997377","189100.803052187","189217.501372397","189334.198626578","189450.896942019","189567.700001597","190278.604144752","190989.598483741","191700.501482487","192411.495826244","193122.499816418","391506.997705102","389071.395741105","386635.796659589","384200.195000768","381764.59462285","379328.994244337","","","",
"United Arab Emirates","ARE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2450","2515","2580","2645","2710","2775","2840","2905","2970","3035","3100","3103.99993896484","3107.99987792969","3112.00012207031","3116.00006103516","3120","3130.59997558594","3141.19995117188","3151.79992675781","3162.39990234375","3172.99987792969","3183.59985351563","3194.20013427734","3204.80010986328","3215.40008544922","3226.00006103516","3236.60003662109","","","",
"Argentina","ARG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","347930","344996.9921875","342063.984375","339131.015625","336198.0078125","333265","330331.9921875","327399.00390625","324465.99609375","321533.0078125","318600","315251.9921875","311904.00390625","308555.99609375","305208.0078125","301860","298680","295500","292320","289140","285960","282991.9921875","280024.00390625","277055.99609375","274088.0078125","271120","268151.9921875","","","",
"Armenia","ARM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3350","3346","3346.00006103516","3343.99993896484","3342.00012207031","3340","3337.99987792969","3336.00006103516","3333.99993896484","3332.00012207031","3330","3327.99987792969","3326.00006103516","3323.99993896484","3322.00012207031","3320","3317.99987792969","3316.00006103516","3313.99993896484","3312.00012207031","3310","3312.00012207031","3313.99993896484","3316.00006103516","3317.99987792969","3320","3322.00012207031","","","",
"American Samoa","ASM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","183.899993896484","183.500003814697","183.199996948242","182.900009155273","182.5","182.199993133545","181.900005340576","181.499996185303","181.200008392334","180.799999237061","180.499992370605","180.200004577637","179.799995422363","179.500007629395","179.099998474121","178.799991607666","178.500003814697","178.099994659424","177.800006866455","177.5","177.099990844727","176.800003051758","176.399993896484","176.100006103516","175.799999237061","175.400009155273","175","","","",
