shopping_cart_id	product_id	option_id	quantity
3000	1200	1201	2
3000	1200	1202	1
3000	1300	1301	3
3000	1300	1302	2
3100	1400	1401	1
3100	1400	1402	1
3100	1500	1501	2
3100	1500	1502	3
3200	1600	1601	2
3200	1600	1602	1
3200	1700	1701	1
3200	1700	1702	3
3300	1800	1801	1
3300	1800	1802	2
3300	1900	1901	1
3300	1900	1902	2
3400	2000	2001	2
3400	2000	2002	3
3400	2100	2101	1
3400	2100	2102	3
3400	2200	2201	2
3400	2200	2202	3
3500	2300	2301	1
3500	2300	2302	1
3500	2400	2401	3
3500	2400	2402	2
3600	2500	2501	3
3600	2500	2502	1
3600	2600	2601	2
3600	2600	2602	1
