order_id	product_id	option_id	quantity
1000	1200	1201	2
1000	1200	1202	1
1000	1300	1301	3
1000	1300	1302	2
1001	1400	1401	1
1001	1400	1402	1
1001	1500	1501	2
1001	1500	1502	3
1002	1600	1601	2
1002	1600	1602	1
1002	1700	1701	1
1002	1700	1702	3
1003	1800	1801	1
1003	1800	1802	2
1003	1900	1901	1
1003	1900	1902	2
1004	2000	2001	2
1004	2000	2002	3
1004	2100	2101	1
1004	2100	2102	3
1004	2200	2201	2
1004	2200	2202	3
1005	2300	2301	1
1005	2300	2302	1
1005	2400	2401	3
1006	2400	2402	2
1006	2500	2501	3
1006	2500	2502	1
1006	2600	2601	2
1006	2600	2602	1
