plk-invoice-number,xyz-branch,city-ghh-998,type-usr-search,gender,category-catalog-dsp,cost of goods sold,sale,dateddmmyyy,time,payment-type-full,review
750-67-8428,A,Nueva York,Member,Female,Health and beauty,522.83,548.9715,01/05/2019,13:08,Ewallet,9.1
226-31-3081,C,Houston,Normal,Female,Electronic accessories,76.4,80.22,03/08/2019,10:29,Cash,9.6
631-41-3108,A,Nueva York,Normal,Male,Home and lifestyle,324.31,340.5255,03/03/2019,13:23,Credit card,7.4
123-19-1176,A,Nueva York,Member,Male,Health and beauty,465.76,489.048,1/27/2019,20:33,Ewallet,8.4
373-73-7910,A,Nueva York,Normal,Male,Sports and travel,604.17,634.3785,02/08/2019,10:37,Ewallet,5.3
699-14-3026,C,Houston,Normal,Male,Electronic accessories,597.73,627.6165,3/25/2019,18:30,Ewallet,4.1
355-53-5943,A,Nueva York,Member,Female,Electronic accessories,413.04,433.692,2/25/2019,14:36,Ewallet,5.8
315-22-5665,C,Houston,Normal,Female,Home and lifestyle,735.6,772.38,2/24/2019,11:38,Ewallet,8
665-32-9167,A,Nueva York,Member,Female,Health and beauty,72.52,76.146,01/10/2019,17:15,Credit card,7.2
692-92-5582,B,Chicago,Member,Female,Food and beverages,164.52,172.746,2/20/2019,13:27,Credit card,5.9
351-62-0822,B,Chicago,Member,Female,Fashion accessories,57.92,60.816,02/06/2019,18:07,Ewallet,4.5
529-56-3974,B,Chicago,Member,Male,Electronic accessories,102.04,107.142,03/09/2019,17:03,Cash,6.8
365-64-0515,A,Nueva York,Normal,Female,Electronic accessories,234.75,246.4875,02/12/2019,10:25,Ewallet,7.1
252-56-2699,A,Nueva York,Normal,Male,Food and beverages,431.9,453.495,02/07/2019,16:48,Ewallet,8.2
829-34-3910,A,Nueva York,Normal,Female,Health and beauty,713.8,749.49,3/29/2019,19:21,Cash,5.7
299-46-1805,B,Chicago,Member,Female,Sports and travel,562.32,590.436,1/15/2019,16:19,Cash,4.5
656-95-9349,A,Nueva York,Member,Female,Health and beauty,482.51,506.6355,03/11/2019,11:03,Credit card,4.6
765-26-6951,A,Nueva York,Normal,Male,Sports and travel,435.66,457.443,01/01/2019,10:39,Credit card,6.9
329-62-1586,A,Nueva York,Normal,Male,Food and beverages,164.01,172.2105,1/21/2019,18:00,Credit card,8.6
319-50-3348,B,Chicago,Normal,Female,Home and lifestyle,80.6,84.63,03/11/2019,15:30,Ewallet,4.4
300-71-4605,C,Houston,Member,Male,Electronic accessories,430.2,451.71,2/25/2019,11:24,Ewallet,4.8
371-85-5789,B,Chicago,Normal,Male,Health and beauty,263.94,277.137,03/05/2019,10:40,Ewallet,5.1
273-16-6619,B,Chicago,Normal,Male,Home and lifestyle,66.4,69.72,3/15/2019,12:20,Credit card,4.4
636-48-8204,A,Nueva York,Normal,Male,Electronic accessories,172.8,181.44,2/17/2019,11:15,Ewallet,9.9
549-59-1358,A,Nueva York,Member,Male,Sports and travel,265.89,279.1845,03/02/2019,17:36,Ewallet,6
227-03-5010,A,Nueva York,Member,Female,Home and lifestyle,420.72,441.756,3/22/2019,19:20,Credit card,8.5
649-29-6775,B,Chicago,Normal,Male,Fashion accessories,33.52,35.196,02/08/2019,15:31,Cash,6.7
189-17-4241,A,Nueva York,Normal,Female,Fashion accessories,175.34,184.107,03/10/2019,12:17,Credit card,7.7
145-94-9061,B,Chicago,Normal,Female,Food and beverages,441.8,463.89,1/25/2019,19:48,Cash,9.6
848-62-7243,A,Nueva York,Normal,Male,Health and beauty,224.01,235.2105,3/15/2019,15:36,Cash,7.4
871-79-8483,B,Chicago,Normal,Male,Fashion accessories,470.65,494.1825,2/25/2019,19:39,Credit card,4.8
149-71-6266,B,Chicago,Member,Male,Sports and travel,702.63,737.7615,1/28/2019,12:43,Cash,4.5
640-49-2076,B,Chicago,Normal,Male,Sports and travel,670.24,703.752,01/10/2019,14:49,Cash,5.1
595-11-5460,A,Nueva York,Normal,Male,Health and beauty,193.16,202.818,3/15/2019,10:12,Credit card,5.1
183-56-6882,C,Houston,Member,Female,Food and beverages,397.68,417.564,02/06/2019,10:42,Ewallet,7.5
232-16-2483,C,Houston,Member,Female,Sports and travel,68.12,71.526,01/07/2019,12:28,Ewallet,6.8
129-29-8530,A,Nueva York,Member,Male,Sports and travel,313.1,328.755,03/10/2019,19:15,Ewallet,7
272-65-1806,A,Nueva York,Normal,Female,Electronic accessories,547.92,575.316,1/15/2019,17:17,Ewallet,4.7
333-73-7901,C,Houston,Normal,Female,Health and beauty,439.36,461.328,3/23/2019,13:24,Ewallet,7.6
777-82-7220,B,Chicago,Member,Male,Home and lifestyle,240.96,253.008,03/03/2019,13:01,Cash,7.7
280-35-5823,B,Chicago,Member,Female,Home and lifestyle,86.72,91.056,1/17/2019,18:45,Ewallet,7.9
554-53-8700,C,Houston,Member,Male,Home and lifestyle,112.22,117.831,02/02/2019,10:11,Cash,6.3
354-25-5821,B,Chicago,Member,Female,Sports and travel,414.72,435.456,02/08/2019,13:03,Cash,5.6
228-96-1411,C,Houston,Member,Female,Food and beverages,789.6,829.08,03/04/2019,20:39,Cash,7.6
617-15-4209,C,Houston,Member,Male,Health and beauty,30.74,32.277,3/16/2019,19:47,Cash,7.2
132-32-9879,B,Chicago,Member,Female,Electronic accessories,375.84,394.632,03/09/2019,18:00,Cash,9.5
370-41-7321,B,Chicago,Member,Male,Health and beauty,510.21,535.7205,2/27/2019,17:24,Credit card,8.4
727-46-3608,B,Chicago,Member,Female,Food and beverages,180.09,189.0945,02/06/2019,15:47,Ewallet,4.1
669-54-1719,B,Chicago,Member,Male,Electronic accessories,113.58,119.259,02/10/2019,12:45,Credit card,8.1
574-22-5561,C,Houston,Member,Female,Fashion accessories,826.3,867.615,3/19/2019,17:08,Ewallet,7.9
326-78-5178,C,Houston,Member,Male,Food and beverages,639.8,671.79,02/03/2019,10:19,Cash,9.5
162-48-8011,A,Nueva York,Member,Female,Food and beverages,222.95,234.0975,02/10/2019,15:10,Cash,8.5
616-24-2851,B,Chicago,Member,Female,Fashion accessories,71.48,75.054,3/22/2019,14:42,Ewallet,6.5
778-71-5554,C,Houston,Member,Male,Fashion accessories,15.43,16.2015,1/25/2019,15:46,Credit card,6.1
